City,Name,Latitude,Longitude,Store Number,Street Combined,Postal Code,Country Subdivision,Country,Ownership Type,nearest_store_number,nearest_store_distance_km
Bethesda,Westfield Montgomery Mall-Upper Lvl,39.024383544921875,-77.14688873291016,19586-194447,"7101 Democracy Blvd., Montgomery Mall",20817,MD,US,CO,28504-249850,0.2
El Paso,Joe Battle & Edgemere,31.793245315551758,-106.26716613769531,19667-165365,3400 Joe Battle Bldg. E,79936,TX,US,CO,9729-97096,3.7
New York,47th & Broadway,40.75962829589844,-73.98523712158203,7215-142646,1585 Broadway,10036,NY,US,CO,7282-987,0.2
Denver,"Hampden & Santa Fe, Sheridan",39.65280532836914,-105.01295471191406,19695-165566,3500 A River Point Parkway,80110,CO,US,CO,76895-121624,0.3
New York,99 Wall Street,40.70481872558594,-74.00723266601562,20154-203326,99 Wall St.,10005,NY,US,CO,10282-100718,0.2
Atlanta,Oglethorpe University,33.873512268066406,-84.3307113647461,19687-176745,4484 Peachtree Rd NE,30319,GA,US,LS,8276-1843,2.2
Greenville,East Carolina University Joyner Lib,35.606773376464844,-77.3683090209961,19798-189585,E 5th Str,27858,NC,US,LS,3574-113607,0.4
Rancho Cordova,Sunrise & Zinfandel RC,38.61334228515625,-121.27049255371094,14829-136406,1971 Zinfandel Drive,95670,CA,US,CO,75818-96847,0.8
Iowa City,Hy-Vee @ Iowa City #2,41.65154266357422,-91.50178527832031,21158-204245,812 South 1st Avenue,52245,IA,US,LS,2855-92721,2.8
Malta,Price Chopper Malta # 184,42.97331619262695,-73.79190826416016,21639-208889,1 Kendall Way,12020,NY,US,LS,21640-208888,10.9
Saratoga,Price Chopper Saratoga # 158,43.07144546508789,-73.79246520996094,21640-208888,115 Ballston Ave,12866,NY,US,LS,7351-1334,1.1
Grand Rapids,"Forest Hills Foods - Grand Rapids,",42.92391586303711,-85.50824737548828,21281-198344,6448 Cascade Rd,49546,MI,US,LS,72717-39120,1.2
Memphis,Follet - The University of Memphis,35.15227127075195,-89.99202728271484,19344-194452,506 University St,38112,TN,US,LS,8297-5927,2.0
Cincinnati,"Kroger-Cincinnati, OH #418",39.159542083740234,-84.45682525634766,19578-129149,4500 Montgomery Rd,45212,OH,US,LS,24141-202466,1.5
Lakeway,Randalls - Lakeway #1779,30.340961456298828,-97.96674346923828,20177-107529,2301 Ranch Road 620 S,78734,TX,US,LS,6364-159047,0.3
Santa Ana,Crevier BMW,33.728233337402344,-117.83688354492188,20437-201808,1500 Auto Mall Dr,92705,CA,US,LS,20537-206365,0.4
Tucson,University of Arizona Library,32.231040954589844,-110.9487075805664,21359-197874,1510 E University Blvd,85721-005,AZ,US,LS,70053-117804,0.4
Lynnfield,Market Street at Lynnfield,42.51511001586914,-71.03373718261719,17087-170524,"420 Market Street, Market Street at Lynnfield",019402631,MA,US,CO,13978-114727,3.7
Baton Rouge,Mall of Louisiana (Kiosk),30.389299392700195,-91.08765411376953,17000-193388,"6401 Bluebonnet Blvd, Mall of Louisiana",70836,LA,US,CO,28360-249845,1.0
Bradenton,SR 64 & I-75,27.492849349975586,-82.47917175292969,19070-191185,6521 SR 64,34208,FL,US,CO,11680-105902,5.3
Issaquah,Issaquah Highlands - Issaquah,47.54311752319336,-122.01993560791016,19354-180264,903 NE Park Drive,98029,WA,US,CO,20180-202744,0.2
Coconut Grove,Bayshore Landing,25.732620239257812,-80.23286437988281,19877-200964,"2550 S Bayshore Drive, Suite 101",33133,FL,US,CO,8254-137084,1.0
Mount Dora,US 441 & Donnelly,28.824554443359375,-81.640869140625,20007-192495,"19021 US Hwy 441, Loch Leven Landing",32757,FL,US,CO,76488-97105,2.3
Jamaica,JFK T8 North,40.644893646240234,-73.79325866699219,18646-191304,JFK Airport,11430,NY,US,LS,21389-212725,0.0
McMinnville,Linfield College,45.20413589477539,-123.19904327392578,19454-194884,900 SE Baker St,97128,OR,US,LS,8736-94344,1.0
Kings Mountain,Ingles Kings Mountain # 147,35.244110107421875,-81.40401458740234,19898-201167,2111 Shelby Rd,28086,NC,US,LS,19900-201165,21.6
Santa Monica,Bristol Farms - Santa Monica,34.03986358642578,-118.47271728515625,21893-205864,3105 Wilshire Blvd,90403,CA,US,LS,647-365,0.6
Orion Township,Baldwin & I-75,42.707889556884766,-83.30764770507812,2358-188865,"4960 S. Baldwin Road, TBD",48359,MI,US,CO,28320-250029,0.8
Graham,224th & Meridian - Graham,47.05437469482422,-122.29393768310547,19666-171346,22205 Meridian Ave E,98338,WA,US,CO,74410-82470,0.2
Aurora,"Mississippi & Havana, Aurora",39.69171142578125,-104.86531066894531,5294-175247,"1402 S. Havana St., Gardens in Havana",80012,CO,US,CO,74351-83241,0.7
Centennial,"8243 So. Quebec, Cty Line Rd",39.56638717651367,-104.90692901611328,254-196664,8243 So. Quebec,80112,CO,US,CO,75009-86329,0.8
University Place,40th & Bridgeport,47.22178649902344,-122.53752136230469,342-98553,"3904 Bridgeport Way W, Suite D",98466,WA,US,CO,74960-90744,0.1
Southlake,Southlake Blvd and Nolen,32.939029693603516,-97.1109848022461,6376-156468,"2645 East Southlake Blvd., 100, Nolan Center",76092,TX,US,CO,74641-102506,1.3
Bowling Green,Western Kentucky University,36.986610412597656,-86.45551300048828,15957-157366,1906 College Heights Blvd,421011000,KY,US,LS,13758-108076,2.8
Amelia,Kroger - Amelia #A468,39.03615188598633,-84.22896575927734,19545-189468,262 W. Main Street,45102,OH,US,LS,2374-9752,7.6
Coral Gables,University of Miami / Student Union,25.72003746032715,-80.27910614013672,19812-107345,1330 Miller Drive,33124,FL,US,LS,75245-80249,0.3
Maryville,Northwest Missouri State Univesity,40.351192474365234,-94.88145446777344,20859-197427,800 University Dr,64468,MO,US,LS,76317-95728,60.0
Phoenix,7th St. & Osborn,33.487640380859375,-112.0653076171875,19281-187644,650 E. Osborn Road,850122314,AZ,US,CO,5480-1569,1.0
Bluffton,Tanger Outlet at Hilton Head,32.239505767822266,-80.81991577148438,19637-199725,"1414 Fording Island Rd., F120",29910,SC,US,CO,8409-20539,3.4
Fayetteville,N Ramsey St,35.12082290649414,-78.88057708740234,19704-193364,"4401 N Ramsey Street, Ramsey Commons",28311,NC,US,CO,21344-210885,1.7
Phoenix,28th St & Indian School,33.49543380737305,-112.02114868164062,19764-172585,2802 East Indian School Road,85016,AZ,US,CO,5422-1009,1.6
Redmond,"Hwy 97 & Veterans - Redmond, OR",44.26371765136719,-121.17769622802734,19821-154084,"1400 SW Canal Boulevard, 101",97756,OR,US,CO,73742-94701,0.5
Castaic,Hasley Canyon & Commerce Center,34.451019287109375,-118.62466430664062,20139-197084,28050 Hasley Canyon Road,91384,CA,US,CO,6902-85300,3.7
Chatham,Chatham,40.74645233154297,-74.4306640625,20167-203744,640 Shunpike Rd.,07928,NJ,US,CO,7552-13240,2.5
Woodbridge,Potomac Mills West Wing,38.64244079589844,-77.29932403564453,20461-205784,"2700 Potomac Mills Circle, KI13",22192,VA,US,CO,10706-101452,0.4
Gulf Breeze,Hwy 98 & Oakhill,30.389116287231445,-87.06871032714844,21597-213264,3703 Gulf Breeze Pkwy,325633528,FL,US,CO,3428-93236,10.0
Brandon,SR 60 & Grand Regency,27.93987274169922,-82.32312774658203,8534-52580,"2350 West Brandon Blvd, Regency Square Shopping Center",335114717,FL,US,CO,76151-93558,0.4
Midland,250 and Midland,32.028324127197266,-102.14397430419922,19298-194304,"4400 North Midland Drive, 800",79707,TX,US,CO,27677-131714,0.4
Edinburg,University & McColl,26.305131912231445,-98.19181823730469,19967-164927,"2720 West University, Suite A",78539,TX,US,CO,2956-91440,5.1
Chicago,S. Lake Park & E. 53rd - Hyde Park,41.79975509643555,-87.58760833740234,226-177445,1530 East 53rd Street,60615,IL,US,CO,2827-87440,0.9
Visalia,Visalia Mall Interior,36.31159210205078,-119.31512451171875,20226-199645,"2031 S. Mooney Blvd, 1473",93277,CA,US,CO,10146-99405,0.9
Naperville,Naper & Ogden,41.79548263549805,-88.121826171875,265-195404,1448 Naperville - Wheaton Road,60540,IL,US,CO,18503-139370,1.0
Boulder,King Soopers-Boulder #61,40.01566696166992,-105.25183868408203,73969-103416,1650 30th St,803011014,CO,US,LS,246-193,0.1
Naples,RiverChase,26.274791717529297,-81.80039978027344,8519-182087,"11232 Tamiami Trail N, RiverChase Shopping Center",341104801,FL,US,CO,8400-28787,4.0
Fishers,Olio Road and Olivia Way,39.98946762084961,-85.9214859008789,19091-197065,"13844 Olivia Way, 101, Crown Liquors",46037,IN,US,CO,72638-32281,8.4
Muskego,Moorland & Janesville,42.919578552246094,-88.10823822021484,19809-202244,S69 W15476  Janesville Road,53150,WI,US,CO,20339-204772,4.3
North Reading,265 Main St.,42.59146499633789,-71.11711883544922,19845-198224,"265 Main Street, Atlantic Plaza",01889,MA,US,CO,23501-214246,3.5
Fort Gratiot,Port Huron - 24th Ave,43.03168869018555,-82.4556655883789,19852-195044,"4216 24th Avenue, Ste. 200",48059,MI,US,CO,28025-237611,0.3
Kaneohe,Windward Mall,21.42017936706543,-157.80503845214844,20315-202708,"46-056 Kamehameha, C01, Windward Mall",96744,HI,US,CO,21047-93484,0.2
Horsham,Horsham Rd & Dresher Rd,40.180328369140625,-75.13399505615234,20379-205087,301 Horsham Road,19044,PA,US,CO,9469-96861,4.1
Fullerton,Cal State Fullerton-Salz Pollak Lib,33.8814582824707,-117.88510131835938,19633-178489,800 N State College Blvd,928313547,CA,US,LS,70070-103406,0.3
Independence,Kroger - Independence #A475,38.93225860595703,-84.5462417602539,19635-188804,1700 Declaration Drive,41051,KY,US,LS,70317-129167,8.5
Virginia Beach,Kroger - Virginia Beach #540,36.816158294677734,-76.10923767089844,19697-188584,3901 Holland Road,23452,VA,US,LS,22264-213204,0.1
Cincinnati,Kroger - Cincinnati #428,39.164329528808594,-84.51289367675781,19787-189469,4777 Kenard Avenue,45232,OH,US,LS,75512-41999,3.2
Bay Shore,Macys South Shore Mall,40.73646926879883,-73.24327850341797,19833-188585,1702 Sunrise Hwy,11706,NY,US,LS,28680-250157,0.5
Hutchinson,Dillons - Hutchinson #97,38.110958099365234,-97.92231750488281,19880-197704,3200 East Plaza East Drive,67502,KS,US,LS,8610-93709,4.6
Kirksville,"Hy-Vee @ Kirksville, MO",40.19782638549805,-92.57198333740234,20159-202084,500 North Baltimore Street,63501,MO,US,LS,22870-224704,91.5
Arkadelphia,Henderson State University - Garris,34.12552261352539,-93.0597915649414,20651-205405,1100 Henderson St,71999,AR,US,LS,8782-85860,36.9
Hollister,Country Mart Hollister - #70,36.57587432861328,-93.2026138305664,20920-199724,200 S. Town Blvd.,65672,MO,US,LS,11520-103609,7.7
New York,Macys Mezzanine - Herald Square,40.750526428222656,-73.98902130126953,20161-203724,"151 W 34th St, Macy's Herald Square",10001,NY,US,CO,17505-180084,0.0
Folsom,Palladio at Broadstone,38.65077590942383,-121.12074279785156,20274-204564,"350 Palladio Parkway, Building 1900",95630,CA,US,CO,6646-64319,0.3
North Babylon,North Babylon,40.737571716308594,-73.3210220336914,16421-157664,"1238 Deer Park Ave, Sunset Plaza",117033109,NY,US,CO,7455-6446,3.0
San Angelo,3rd & Bryant,31.464170455932617,-100.445068359375,19875-195625,403 W. Third Street,76903,TX,US,CO,6923-86124,3.9
Lancaster,Avenue K & 10th Street West,34.67506408691406,-118.14765167236328,19566-174784,"855 West Ave. K, Suite 105",935346021,CA,US,CO,6982-88600,1.9
Santa Rosa,Coddingtown Mall,38.45826721191406,-122.7304916381836,19815-197110,358 Coddingtown Center,95401,CA,US,CO,2843-73243,1.2
Upper Arlington,West Henderson Road,40.05439376831055,-83.06884765625,2644-192204,1873 West Henderson Road,43221,OH,US,CO,10975-103351,2.3
Spring Valley,Campo & Bonita,32.747642517089844,-116.98470306396484,6793-193504,9809 Campo Road,919771415,CA,US,CO,14179-116184,2.3
Lake Buena Vista,Fountain View @ Disney's Epcot,28.37375831604004,-81.54976654052734,19775-193145,1400 Avenue of the Stars,32830,FL,US,LS,22364-193144,2.1
Little Rock,Chenal Pkwy & Kirk,34.757808685302734,-92.4498062133789,19456-176367,"16301 Chenal Parkway, Suite 300",72223,AR,US,CO,76960-129148,3.2
Sun Prairie,Prairie Lakes & Grand,43.1663818359375,-89.26959228515625,19808-202245,2804 Prairie Lakes Drive,53590,WI,US,CO,70365-138021,0.4
Anchorage,5th Avenue Mall - Level 2,61.217105865478516,-149.8881072998047,19819-178265,"320 West 5th Avenue, 224, Anchorage 5th Ave Mall",99501,AK,US,CO,28191-249962,0.0
Dayton,Dayton - Wilmington Pike,39.64674758911133,-84.10990905761719,19868-194144,"6252 Wilmington Pike, TBD, Sugarcreek Plaza II",45305,OH,US,CO,76287-91920,1.4
Tustin,Edinger & 55 Fwy,33.72466278076172,-117.83502197265625,20537-206365,15071 Newport Avenue,92780,CA,US,CO,20437-201808,0.4
City of Industry,Fullerton & Gale,33.9948844909668,-117.90704345703125,10540-193704,18200 Gale Avenue,91748,CA,US,CO,76189-93365,1.1
Yorkville,Yorkville,41.65576934814453,-88.44158172607422,19693-201565,1246 N. Bridge Street,60560,IL,US,CO,76911-127264,3.9
